IOs;Gold (mg)
28;0.253452383
28;0.286
28;0.231013001
28;0.194
28;0.191
28;0.143808433
28;0.193
28;0.286
28;0.213438148
28;0.246553957
32;0.26982986
32;0.371925949
32;0.370430084
32;0.370855685
32;0.41
32;0.001429167
32;0.329296916
32;0.305782414
32;0.27
32;0.323526256
32;0.0012905
32;0.00516832
32;0
32;0.000938467
32;0.60011739
32;0.000780904
32;0.634090432
32;0.554
32;0.506190816
32;0.603885218
32;0.779822152
48;0.00725848
48;0.090470771
48;0.750479931
48;0.68982574
48;0.79992
48;0.89991
48;2.626
48;0.850346244
48;0.714522923
48;1.053458469
48;0.03441742
48;1.04392624
48;0.305782414
48;0.782049664
48;0.885
48;0.968
48;0.728
48;0.568
48;0.703
48;0.864453693
48;0.845
48;0.696
48;0.002019329
48;0.001764742
48;0.857222135
48;2.626
48;0.663
48;0
48;0.643
48;0.534656069
48;0.865
48;0.783
48;0.715
48;0.616
48;0.766734256
48;0.580639846
48;0.335868625
48;0.802184387
48;0.001245644
48;0.425728611
48;0.259988429
48;0.4
48;0.8
48;0.70703875
48;0
48;0
48;0
48;0.013944752
48;0.013944752
48;0.013373571
48;0.013944752
48;0.60608
48;0.60608
48;0.60608
64;1.08735
64;1.084
64;1.084
64;0.005377581
64;0.900108
64;0
64;0
64;0
64;0
64;0
64;0
64;1.1862
64;1.28505
64;0
64;1.079
64;0.864
64;0.694675423
64;1.225
64;1.083
64;1.117
64;0.993
64;0.911
64;1.166418208
64;1.056443941
64;1.272643424
64;0.947740221
64;0.67
64;0.67
64;0.67
64;0.67
64;0.67
64;0.67
68;0.01524446
80;1.104
80;0.971455006
80;1.179092381
100;1.568
100;1.568
100;1.568
100;1.568
100;1.568
100;1.568
100;1.568
100;1.715
100;1.715
100;1.568
100;1.568
100;1.715
100;1.568
100;1.670871695
100;1.88834952
100;1.544
100;1.670284739
100;1.56866984
100;1.583
100;1.583
100;1.583
100;1.583
100;0.00767
100;0.00767
100;0.00767
100;0.00767
100;0.00767
100;0.00767
100;0.00767
100;0.00767
100;0.00767
100;0.00767
100;0.00767
100;0.00767
100;0.00767
100;0.00767
100;1.583
100;1.89914952
100;1.450325958
100;0.0047595
100;1.54646
100;2.178
100;2.178
100;1.977
100;0
100;0
100;0
100;2.47125
100;2.1747
100;2.07585
100;1.878
100;1.87815
100;1.68045
100;2.076
100;1.779
100;2.07585
100;2.271465
128;2.158299
128;1.483
144;4.456
144;2.52612
144;2.661288445
144;2.661288445
144;4.456
144;2.591
144;2.591
144;2.591
144;2.591
144;2.554
144;4.456
144;3.52447488
144;2.966
144;2.3724
144;1.977
144;0
144;2.51079
144;3.163
144;2.475
144;2.475
144;2.475
144;2.32045506
176;2.48
176;2.48
208;5.679
208;5.679
